1 1 7,10324788257188E-13 78355
2 2 3,53742563280686E-13 39177
3 4 1,76910904530683E-13 19588
4 8 9,14413082093653E-14 9794
5 16 4,56639878902159E-14 4897
6 32 2,38931380363805E-14 2448
7 64 1,14163011712134E-14 1224
8 128 5,56368321802789E-15 612
9 256 3,07534748518076E-15 306
10 512 1,64009541456907E-15 153
11 1024 1,09599567559743E-15 76
12 2048 8,13481329789683E-16 38
13 4096 7,47814597246303E-16 19
14 8192 7,42338174658696E-16 9
15 16384 6,03129283475841E-16 4
