1 1 5,02275474622212E-13 78355
2 2 2,50133765295959E-13 39177
3 4 1,2509490028879E-13 19588
4 8 6,46587691159784E-14 9794
5 16 3,22893156659197E-14 4897
6 32 1,68950008126843E-14 2448
7 64 8,07254397435928E-15 1224
8 128 3,93412133203336E-15 612
9 256 2,17474218450275E-15 306
10 512 1,16029620707983E-15 153
11 1024 7,77038412014445E-16 76
12 2048 5,84828538769074E-16 38
13 4096 5,47182586999342E-16 19
14 8192 5,52943483299805E-16 9
15 16384 4,49789227495898E-16 4
